01010010001101101,0,01010010001101101,
01011100100110,0,01011100100110,
111110011,0,111110011,
0111111011001,0,0111111011001,
1111100100,0,1111100100,
101110101,0,101110101,
001110110,0,001110110,
100001101111100,0,100001101111100,
11101000101,0,11101000101,
111011100,0,111011100,
1000010100001100,0,1000010100001100,
010100000011,0,010100000011,
00001010101100001,0,00001010101100001,
0001000110000,0,0001000110000,
0001001010101000,0,0001001010101000,
11010110111011,0,11010110111011,
10001010100110,0,10001010100110,
00010101101,0,00010101101,
10100100101011010,0,10100100101011010,
1100101110000111100,0,1100101110000111100,
0111101011011,0,0111101011011,
101011111,0,101011111,
1001111110000,0,1001111110000,
010100100100101,0,010100100100101,
101111001,0,101111001,
11000000010010000000,0,11000000010010000000,
01001001,0,01001001,
010001110,0,010001110,
0111000100001111011,1,01110001100001111011,
110100100101,0,110100100101,
000000111010,0,000000111010,
00011110011,0,00011110011,
010110101110,0,010110101110,
01001000100000,0,01001000100000,
01100010011011010001,0,01100010011011010001,
011111110110011000,0,011111110110011000,
01010110010011100,0,01010110010011100,
10000100010000,0,10000100010000,
0011100001,1,00111000101,
10011011110011,0,10011011110011,
01110111011101,0,01110111011101,
0110010111011000,0,0110010111011000,
11001110000011,0,11001110000011,
11000001101010,0,11000001101010,
0000101110,0,0000101110,
01110101011,0,01110101011,
10010000000,0,10010000000,
000010101001000,0,000010101001000,
011010111111000111,1,0101010111111000111,
11000101010111100,0,11000101010111100,
001100010001,0,001100010001,
0001001010000001010101000,0,0001001010000001010101000,
1111110000,0,1111110000,
0000100110001,0,0000100110001,
110101010101001,0,110101010101001,
001101000110,0,001101000110,
000011011101110,0,000011011101110,
1010001010,0,1010001010,
011111011111,0,011111011111,
0001001111,0,0001001111,
0000111111001010110,0,0000111111001010110,
0000101110111,0,0000101110111,
11101011000010,0,11101011000010,
0001000010110,0,0001000010110,
00001111111,0,00001111111,
111111111,0,111111111,
0110000011,0,0110000011,
0110011011011010010,0,0110011011011010010,
11110001111111,0,11110001111111,
1010010011,0,1010010011,
101000001001,0,101000001001,
011100110110010,0,011100110110010,
1011011000100011,0,1011011000100011,
0000110001111110111,0,0000110001111110111,
11010101110101100,0,11010101110101100,
11001110100010110,0,11001110100010110,
0110000100001111111,0,0110000100001111111,
1111001111,0,1111001111,
0000111010,0,0000111010,
1010100111,0,1010100111,
0101000010011,0,0101000010011,
00010101110111010,0,00010101110111010,
00001100110000111,0,00001100110000111,
01010000011001,0,01010000011001,
11100000110,0,11100000110,
000101111100,0,000101111100,
00101000111010,0,00101000111010,
01010110011,0,01010110011,
00010001101,0,00010001101,
110001110,0,110001110,
01100100111,0,01100100111,
01011110110110,0,01011110110110,
00100001,0,00100001,
0110010010000,0,0110010010000,
1101000010,0,1101000010,
1011010001,0,1011010001,
00001000,0,00001000,
11000010001100,0,11000010001100,
1101001000,0,1101001000,
01111010,0,01111010,
000010011011111110,0,000010011011111110,
